scenario,fiscal_year,period_end,period_class,metric,display_name,value,unit,status,value_source,formula,input_metrics,source_ids,notes
actual,FY2022,2022-05-31,actual,revenue_growth,Revenue growth,,decimal,not_applicable,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,revenue,Revenue,46710,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,gross_margin,Gross margin,0.459837,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,gross_profit,Gross profit,21479,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,sga_percent_revenue,SG&A as a percentage of revenue,0.3169342753157782059516163562,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,total_selling_and_administrative_expense,Total SG&A,14804,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,derived_operating_income,Derived operating income,6675,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,operating_margin,Derived operating margin,0.142903,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,normalized_tax_rate,Historical effective tax rate,0.09096376484739136971883927229,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,normalized_operating_tax_expense,Normalized operating tax expense,607.1831303563373928732521425,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,nopat,NOPAT,6067.816869643662607126747858,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,depreciation_and_amortization,Depreciation and amortization,717,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,da_percent_revenue,D&A as a percentage of revenue,0.01535003211303789338471419396,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,capital_expenditures,Capital expenditures,758,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,capex_percent_revenue,Capital expenditures as a percentage of revenue,0.01622778848212374223934917577,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,operating_nwc_proxy,Operating NWC proxy,5416,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,operating_nwc_percent_revenue,Operating NWC as a percentage of revenue,0.1159494754870477413830014986,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,change_in_operating_nwc,Change in operating NWC,,USD millions,not_applicable,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
