scenario,metric,display_name,unit,FY2026_actual,presentation_rounding,notes,FY2027,FY2028,FY2029,FY2030,FY2031
base,revenue_growth,Revenue growth,decimal,0.002,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Nominal reported-basis consolidated revenue growth.,-0.020,0.020,0.035,0.040,0.030
base,revenue,Revenue,USD millions,46398,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Nominal reported-basis consolidated revenue in USD millions.,45470,46379,48003,49923,51421
base,gross_margin,Gross margin,decimal,0.429,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,FY2026 reported gross margin includes an approximately 210-basis-point IEEPA tariff-recovery benefit; no adjusted actual is substituted.,0.425,0.432,0.440,0.445,0.448
base,gross_profit,Gross profit,USD millions,19911,Whole USD millions; authoritative precision in scenario_forecast_long.csv,,19325,20036,21121,22216,23036
base,sga_percent_revenue,SG&A as a percentage of revenue,decimal,0.347,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Total consolidated SG&A as a percentage of revenue.,0.352,0.345,0.338,0.332,0.328
base,total_selling_and_administrative_expense,Total SG&A,USD millions,16114,Whole USD millions; authoritative precision in scenario_forecast_long.csv,,16005,16001,16225,16574,16866
base,derived_operating_income,Derived operating income,USD millions,3797,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Project-derived operating income equals gross profit less total SG&A; it is not Nike-reported EBIT or segment EBIT.,3319,4035,4896,5641,6170
base,operating_margin,Derived operating margin,decimal,0.082,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,"Uses project-derived operating income, not a Nike-reported consolidated subtotal.",0.073,0.087,0.102,0.113,0.120
base,normalized_tax_rate,Historical effective / forecast normalized operating tax rate,decimal,0.203,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,FY2026 is the historical effective rate; forecasts use the project's normalized 21.0% operating tax rate within Nike's low-20% outlook range.,0.210,0.210,0.210,0.210,0.210
base,normalized_operating_tax_expense,Normalized operating tax expense,USD millions,771,Whole USD millions; authoritative precision in scenario_forecast_long.csv,No automatic tax benefit is recognized for an operating loss without a documented NOL schedule.,697,847,1028,1185,1296
base,nopat,NOPAT,USD millions,3026,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Derived operating income less normalized operating tax expense; interest is excluded.,2622,3188,3868,4457,4875
base,depreciation_and_amortization,Depreciation and amortization,USD millions,747,Whole USD millions; authoritative precision in scenario_forecast_long.csv,,728,742,768,799,823
base,da_percent_revenue,D&A as a percentage of revenue,decimal,0.016,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,,0.016,0.016,0.016,0.016,0.016
base,capital_expenditures,Capital expenditures,USD millions,684,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Positive values represent investment spending.,682,742,816,849,874
base,capex_percent_revenue,Capital expenditures as a percentage of revenue,decimal,0.015,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Positive capital-expenditure reinvestment rate.,0.015,0.016,0.017,0.017,0.017
base,operating_nwc_proxy,Operating NWC proxy,USD millions,5507,Whole USD millions; authoritative precision in scenario_forecast_long.csv,"Aggregate noncash, nondebt, nonlease current-balance proxy; some tax and other balances may remain embedded.",5047,5009,5040,5092,5142
base,operating_nwc_percent_revenue,Operating NWC as a percentage of revenue,decimal,0.119,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Aggregate operating-NWC proxy divided by revenue.,0.111,0.108,0.105,0.102,0.100
base,change_in_operating_nwc,Change in operating NWC,USD millions,1355,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Closing less opening operating NWC; a positive change uses cash and reduces FCFF.,-460,-38,31,52,50
base,fcff,Free cash flow to the firm,USD millions,1734,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Historical project FCFF and scenario FCFF use NOPAT + D&A - capex - change in operating NWC; this differs from Phase 3 historical FCF.,3128,3226,3789,4355,4773
base,fcff_margin,FCFF margin,decimal,0.037,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,FCFF divided by revenue. Operating leases remain in operating expense and are not separately adjusted.,0.069,0.070,0.079,0.087,0.093
bull,revenue_growth,Revenue growth,decimal,0.002,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Nominal reported-basis consolidated revenue growth.,0.005,0.040,0.050,0.050,0.035
bull,revenue,Revenue,USD millions,46398,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Nominal reported-basis consolidated revenue in USD millions.,46630,48495,50920,53466,55337
bull,gross_margin,Gross margin,decimal,0.429,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,FY2026 reported gross margin includes an approximately 210-basis-point IEEPA tariff-recovery benefit; no adjusted actual is substituted.,0.430,0.440,0.450,0.455,0.458
bull,gross_profit,Gross profit,USD millions,19911,Whole USD millions; authoritative precision in scenario_forecast_long.csv,,20051,21338,22914,24327,25344
bull,sga_percent_revenue,SG&A as a percentage of revenue,decimal,0.347,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Total consolidated SG&A as a percentage of revenue.,0.348,0.340,0.330,0.322,0.318
