metric,fiscal_year_label,period_start,period_end,reported_value,normalized_value,reported_unit,normalized_unit,taxonomy,xbrl_concept,sec_form,filing_date,accession_number,source_url,company_facts_url,retrieval_timestamp,selection_status,selection_reason,value_type,presentation_type,transformation_notes,statement_type,period_type,fact_fiscal_year,fact_fiscal_period,frame,candidate_priority,face_statement_url,face_statement_retrieval_timestamp,face_statement_sha256,face_statement_label,face_statement_value,face_reconciliation_status,face_reconciliation_note,supporting_source_url,supporting_source_retrieval_timestamp,supporting_source_sha256,supporting_source_label,supporting_source_notes,content_sha256
revenue,FY2022,2021-06-01,2022-05-31,46710000000,46710,USD,USD millions,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,"USD divided by 1,000,000.",income_statement,duration,2022,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,Revenues,46710,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
revenue,FY2022,2021-06-01,2022-05-31,46710000000,46710,USD,USD millions,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2023-07-20,0000320187-23-000039,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2023,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/R3.htm,2026-09-07T07:03:56.168211+00:00,ea7d6dbbd0927e1fbd1cd2e42aa966c747c38111946fd03880726615e48d3f82,Revenues,46710,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
revenue,FY2022,2021-06-01,2022-05-31,46710000000,46710,USD,USD millions,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2024-07-25,0000320187-24-000044,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2024,FY,CY2021,1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/R3.htm,2026-09-07T07:03:57.836582+00:00,ac6824da10fc859f7f318c38a85e9f8642ebe92d2da0b978146ee3e1cf4aaca2,Revenues,46710,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
cost_of_revenue,FY2022,2021-06-01,2022-05-31,25231000000,25231,USD,USD millions,us-gaap,CostOfGoodsAndServicesSold,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,"USD divided by 1,000,000.",income_statement,duration,2022,FY,,2,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,Cost of sales,25231,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
cost_of_revenue,FY2022,2021-06-01,2022-05-31,25231000000,25231,USD,USD millions,us-gaap,CostOfGoodsAndServicesSold,10-K,2023-07-20,0000320187-23-000039,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2023,FY,,2,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/R3.htm,2026-09-07T07:03:56.168211+00:00,ea7d6dbbd0927e1fbd1cd2e42aa966c747c38111946fd03880726615e48d3f82,Cost of sales,25231,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
cost_of_revenue,FY2022,2021-06-01,2022-05-31,25231000000,25231,USD,USD millions,us-gaap,CostOfGoodsAndServicesSold,10-K,2024-07-25,0000320187-24-000044,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2024,FY,CY2021,2,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/R3.htm,2026-09-07T07:03:57.836582+00:00,ac6824da10fc859f7f318c38a85e9f8642ebe92d2da0b978146ee3e1cf4aaca2,Cost of sales,25231,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
gross_profit,FY2022,2021-06-01,2022-05-31,21479000000,21479,USD,USD millions,us-gaap,GrossProfit,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,"USD divided by 1,000,000.",income_statement,duration,2022,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,Gross profit,21479,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
gross_profit,FY2022,2021-06-01,2022-05-31,21479000000,21479,USD,USD millions,us-gaap,GrossProfit,10-K,2023-07-20,0000320187-23-000039,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2023,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/R3.htm,2026-09-07T07:03:56.168211+00:00,ea7d6dbbd0927e1fbd1cd2e42aa966c747c38111946fd03880726615e48d3f82,Gross profit,21479,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
gross_profit,FY2022,2021-06-01,2022-05-31,21479000000,21479,USD,USD millions,us-gaap,GrossProfit,10-K,2024-07-25,0000320187-24-000044,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2024,FY,CY2021,1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/R3.htm,2026-09-07T07:03:57.836582+00:00,ac6824da10fc859f7f318c38a85e9f8642ebe92d2da0b978146ee3e1cf4aaca2,Gross profit,21479,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
total_selling_and_administrative_expense,FY2022,2021-06-01,2022-05-31,14804000000,14804,USD,USD millions,us-gaap,SellingGeneralAndAdministrativeExpense,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,"USD divided by 1,000,000.",income_statement,duration,2022,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,Total selling and administrative expense,14804,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
